currency_pair,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity,profit_accuracy,transaction_frequency
AUDJPY,1,42.0,176.0,108.0,0.007791319987410904,27.0,0.7057870626449585,0.8,1.0,0.8,0.8888888888888888,0.0,0.0,0.0
AUDNZD,1,43.0,81.0,37.0,0.00812059163934594,41.0,0.3870440125465393,0.75,1.0,0.75,0.8571428571428571,0.0,0.0,0.0
AUDUSD,1,33.0,87.0,90.0,0.007280537663274974,49.0,0.7681006193161011,0.9285714285714286,1.0,0.9285714285714286,0.9629629629629629,0.0,0.0,0.0
CADJPY,1,46.0,95.0,105.0,0.009253451007322895,33.0,0.4604038596153259,1.0,0.0,0.0,0.0,1.0,0.0,0.0
EURAUD,1,45.0,200.0,107.0,0.0016710821864528132,18.0,0.5814128518104553,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
EURCAD,1,30.0,90.0,29.0,0.004584049628884583,28.0,0.6128759384155273,0.9411764705882353,1.0,0.9411764705882353,0.9696969696969697,0.0,0.0,0.0
EURNOK,1,35.0,160.0,102.0,0.0022439222892692945,41.0,0.4839441776275635,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348,0.0,100.0,58.333333333333336
GBPAUD,1,40.0,111.0,127.0,0.0040651110464827766,43.0,0.49235427379608154,0.8571428571428571,1.0,0.5,0.6666666666666666,1.0,100.0,14.285714285714285
NZDUSD,1,40.0,119.0,57.0,0.004597703825994142,36.0,0.6113808155059814,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,0.0,0.0,0.0
USDCAD,1,41.0,102.0,64.0,0.002139166297043841,17.0,0.35346248745918274,0.5,0.0,0.0,0.0,0.6,0.0,0.0
USDNOK,1,35.0,101.0,64.0,0.009621356210217898,10.0,0.646037757396698,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
USDJPY,1,43.0,53.0,65.0,0.009253357838015258,34.0,0.43333813548088074,0.25,0.0,0.0,0.0,0.25,0.0,0.0
USDSGD,1,46.0,115.0,22.0,0.00898801110906615,23.0,0.20113436877727509,1.0,0.0,0.0,0.0,1.0,0.0,0.0
USDZAR,1,30.0,111.0,122.0,0.00041572038119908235,19.0,0.5440962314605713,0.9411764705882353,1.0,0.9411764705882353,0.9696969696969697,0.0,0.0,0.0
EURGBP,1,42.0,83.0,102.0,0.006202416314274346,28.0,0.5355911254882812,0.2,0.0,0.0,0.0,0.2,0.0,0.0
EURUSD,1,35.0,50.0,102.0,0.002990260750913932,36.0,0.4451444447040558,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
EURJPY,1,36.0,181.0,94.0,0.0049526471950840445,37.0,0.5270728468894958,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
GBPCHF,1,32.0,51.0,62.0,0.0038438320361918765,38.0,0.650982677936554,0.9333333333333333,1.0,0.9333333333333333,0.9655172413793104,0.0,100.0,20.0
GBPUSD,1,30.0,156.0,23.0,0.00038951495097304736,26.0,0.6832382082939148,0.8125,0.8666666666666667,0.9285714285714286,0.896551724137931,0.0,0.0,0.0
average,average,38.10526315789474,111.6842105263158,78.0,0.00517916065039041,30.736842105263158,0.532810628414154,0.6554137683781648,0.5719298245614035,0.4735072976559045,0.5117573478656094,0.22711323763955343,15.789473684210526,4.87468671679198
